player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density,cluster,archetype,archetype_color
Selim Salau,PP,26,7,19,0.543,0.1429,0.2632,-36.59,76.78,113.37,-0.0159,0.1263,0.1422,103.52,0.2308,0.4401,1,Composed Accumulator,#2ecc71
J Baker,PP,17,5,12,1.2,0.4,0.3333,-58.65,83.91,142.57,-0.1252,0.1206,0.2458,125.32,0.3529,0.4968,4,Pressure Vulnerable,#e74c3c
KP Pietersen,MO,63,5,58,1.406,0.8,0.569,-59.33,77.67,137.01,-0.0716,0.084,0.1556,132.3,0.5873,0.2828,3,Explosive Aggressor,#3498db
JH Kallis,MO,63,6,57,1.696,0.8333,0.4912,-18.9,86.54,105.44,-0.0026,0.0855,0.0881,103.64,0.5238,0.2994,3,Explosive Aggressor,#3498db
KC Sangakkara,MO,77,11,66,1.143,0.7273,0.6364,-51.65,72.14,123.79,-0.0646,0.0677,0.1323,116.41,0.6494,0.2944,3,Explosive Aggressor,#3498db
Mohammad Hafeez,MO,45,6,39,1.083,0.6667,0.6154,-68.82,64.61,133.43,-0.0988,0.0568,0.1556,124.25,0.6222,0.3196,4,Pressure Vulnerable,#e74c3c
JA Morkel,MO,21,6,15,2.5,0.6667,0.2667,-56.13,78.92,135.05,-0.0808,0.0728,0.1536,119.01,0.381,0.3672,4,Pressure Vulnerable,#e74c3c
KD Karthik,MO,115,14,101,1.804,0.6429,0.3564,-51.21,78.54,129.75,-0.0678,0.0871,0.1549,123.52,0.3913,0.2921,3,Explosive Aggressor,#3498db
LRPL Taylor,MO,73,7,66,0.754,0.2857,0.3788,-30.55,86.11,116.66,-0.0161,0.088,0.1041,113.73,0.3699,0.2917,3,Explosive Aggressor,#3498db
TM Dilshan,MO,47,6,41,2.135,0.8333,0.3902,-51.92,58.53,110.45,-0.0747,0.0431,0.1178,103.82,0.4468,0.3291,3,Explosive Aggressor,#3498db
MN Samuels,MO,38,13,25,1.224,0.5385,0.44,-37.38,86.96,124.34,-0.041,0.103,0.144,111.55,0.4737,0.3938,3,Explosive Aggressor,#3498db
CH Gayle,MO,86,6,80,1.185,0.6667,0.5625,-50.59,98.58,149.18,-0.0486,0.1417,0.1903,145.65,0.5698,0.3025,3,Explosive Aggressor,#3498db
Mahmudullah,MO,62,17,45,0.827,0.2941,0.3556,-44.86,73.7,118.55,-0.049,0.0684,0.1174,106.25,0.3387,0.3411,3,Explosive Aggressor,#3498db
CO Obuya,MO,27,7,20,1.905,0.8571,0.45,-51.33,72.08,123.41,-0.0779,0.046,0.1238,110.11,0.5556,0.3442,3,Explosive Aggressor,#3498db
Shoaib Malik,MO,60,9,51,2.088,0.7778,0.3725,-52.49,71.79,124.27,-0.0752,0.0473,0.1225,116.4,0.4333,0.2933,3,Explosive Aggressor,#3498db
BJ Hodge,MO,61,8,53,1.44,0.625,0.434,-60.89,62.69,123.58,-0.0963,0.0384,0.1347,115.59,0.459,0.3233,4,Pressure Vulnerable,#e74c3c
BRM Taylor,MO,20,5,15,1.8,0.6,0.3333,-59.41,70.12,129.53,-0.0879,0.0539,0.1418,114.68,0.4,0.3176,4,Pressure Vulnerable,#e74c3c
MEK Hussey,MO,57,6,51,1.159,0.5,0.4314,-62.73,68.92,131.65,-0.0677,0.0626,0.1303,125.04,0.4386,0.2655,3,Explosive Aggressor,#3498db
IK Pathan,MO,31,7,24,1.247,0.5714,0.4583,-37.4,62.42,99.82,-0.0328,0.0428,0.0757,91.37,0.4839,0.3629,1,Composed Accumulator,#2ecc71
MS Dhoni,MO,142,39,103,2.054,0.359,0.1748,-43.79,68.96,112.75,-0.0349,0.0613,0.0961,100.73,0.2254,0.347,3,Explosive Aggressor,#3498db
RV Uthappa,MO,92,11,81,1.052,0.6364,0.6049,-55.05,80.31,135.36,-0.0594,0.0994,0.1588,128.78,0.6087,0.3027,3,Explosive Aggressor,#3498db
DPMD Jayawardene,MO,62,7,55,2.245,0.8571,0.3818,-40.21,77.06,117.27,-0.0428,0.0818,0.1246,112.73,0.4355,0.3124,3,Explosive Aggressor,#3498db
G Gambhir,MO,70,7,63,2.333,1.0,0.4286,-42.68,80.55,123.23,-0.04,0.0834,0.1234,118.96,0.4857,0.2415,3,Explosive Aggressor,#3498db
