player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density
G Wareham,Death,13,4,9,1.688,0.75,0.4444,-30.22,113.63,143.85,0.031,0.1922,0.1612,134.55,0.5385,0.289
JE Ronalds,Death,12,3,9,3.0,0.6667,0.2222,-52.8,45.19,98.0,-0.0506,0.0,0.0506,84.8,0.3333,0.3114
Ibrahim Rizan,Death,10,5,5,,0.2,0.0,-43.59,68.28,111.87,-0.0259,0.0617,0.0876,90.07,0.1,0.4309
N Senamontree,Death,10,4,6,1.5,0.5,0.3333,-32.06,37.38,69.44,-0.0208,0.0,0.0208,56.62,0.4,0.3903
V Vijh,Death,14,3,11,2.2,1.0,0.4545,-50.3,107.94,158.24,-0.1479,0.0476,0.1955,147.46,0.5714,0.2254
Abdul Samad,Death,27,6,21,0.875,0.3333,0.381,-99.55,86.91,186.45,-0.1393,0.1032,0.2424,164.33,0.3704,0.282
SO Hetmyer,Death,48,6,42,1.867,0.6667,0.3571,-61.29,118.11,179.4,-0.0738,0.1698,0.2436,171.74,0.3958,0.2265
Shaheen Shah Afridi,Death,16,4,12,0.5,0.25,0.5,-68.75,82.92,151.67,-0.0935,0.0982,0.1918,134.48,0.4375,0.3489
JJ Bazley,Death,19,4,15,0.938,0.5,0.5333,-61.39,79.44,140.84,-0.0956,0.0802,0.1758,127.91,0.5263,0.3019
RM Ghosh,Death,28,5,23,1.84,0.8,0.4348,-64.76,123.06,187.82,-0.068,0.2279,0.2959,176.26,0.5,0.2703
Haris Rauf,Death,10,6,4,0.667,0.5,0.75,-30.35,107.98,138.33,-0.0912,0.1422,0.2333,120.12,0.6,0.4985
B Murekatete,Death,10,7,3,1.714,0.5714,0.3333,-28.53,70.48,99.01,-0.0242,0.073,0.0972,79.04,0.5,0.4801
MD Bimenyimana,Death,13,5,8,1.6,0.8,0.5,-53.94,66.97,120.91,-0.06,0.0549,0.115,100.16,0.6154,0.3259
Fatima Sana,Death,16,3,13,1.083,0.3333,0.3077,-48.66,94.55,143.21,-0.102,0.0833,0.1854,134.08,0.3125,0.2481
Noman Amjad,Death,10,3,7,3.5,1.0,0.2857,-93.99,49.05,143.04,-0.133,0.0,0.133,114.84,0.5,0.2937
Vinay Ravi,Death,10,4,6,1.5,0.75,0.5,-47.94,81.25,129.19,-0.043,0.0833,0.1263,110.02,0.6,0.3271
C Rububagumya,Death,15,3,12,2.0,0.6667,0.3333,-23.89,104.81,128.7,0.0545,0.1741,0.1195,123.92,0.4,0.2849
M Akayezu,Death,16,7,9,1.543,0.8571,0.5556,-112.13,83.13,195.26,-0.1678,0.0993,0.2671,146.2,0.6875,0.3765
Z Bimenyimana,Death,12,4,8,2.0,0.75,0.375,-83.74,99.99,183.73,-0.1237,0.0946,0.2183,155.81,0.5,0.3339
VP Thamotharam,Death,11,3,8,2.667,1.0,0.375,-61.44,109.52,170.96,-0.0761,0.1588,0.2349,154.21,0.5455,0.331
CT Dhururu,Death,11,7,4,,1.0,0.0,-48.59,62.01,110.6,-0.0121,0.0683,0.0803,79.68,0.6364,0.4571
N Chantam,Death,13,3,10,0.833,0.3333,0.4,-123.25,66.11,189.36,-0.1717,0.0833,0.255,160.92,0.3846,0.273
IJR Zwilling,Death,14,3,11,1.222,0.6667,0.5455,-78.91,49.96,128.88,-0.1282,0.0,0.1282,111.97,0.5714,0.2912
KIC Asalanka,Death,16,3,13,1.444,0.6667,0.4615,-88.57,70.95,159.52,-0.0707,0.1111,0.1818,142.91,0.5,0.2732
P Useni,Death,12,3,9,1.0,0.6667,0.6667,-80.45,85.45,165.9,-0.108,0.0847,0.1927,145.78,0.6667,0.3209
P Marange,Death,10,6,4,,0.5,0.0,-82.7,48.86,131.56,-0.1502,0.0417,0.1919,81.94,0.3,0.4706
P Alako,Death,16,10,6,1.5,0.5,0.3333,-97.78,60.59,158.36,-0.1494,0.0379,0.1873,97.25,0.4375,0.4758
CN Greaves,Death,13,5,8,1.6,0.4,0.25,-25.22,80.68,105.9,-0.0203,0.09,0.1103,96.2,0.3077,0.303
L Lamin,Death,10,3,7,4.667,0.6667,0.1429,-14.98,91.67,106.64,0.0027,0.081,0.0782,102.15,0.3,0.3069
IM Vaghela,Death,10,5,5,4.0,0.8,0.2,-46.56,58.61,105.17,-0.0289,0.02,0.0489,81.89,0.5,0.3822
Zain Ul Abidin,Death,18,3,15,1.667,0.6667,0.4,-74.64,68.52,143.16,-0.0666,0.0926,0.1592,130.72,0.4444,0.2489
Bilal Tahir,Death,16,4,12,1.286,0.75,0.5833,-37.61,123.72,161.33,-0.0369,0.1679,0.2048,151.93,0.625,0.3003
SA Jumbe,Death,17,4,13,2.6,1.0,0.3846,-90.62,85.39,176.01,-0.0879,0.1481,0.2361,154.69,0.5294,0.2639
