batter,0_dots,1_dots,2_dots,3_dots,4_dots,5+_dots,balls_faced,dismissal_rate_pct
PHKD Mendis,5.5045871559633035,4.444444444444445,15.151515151515152,0.0,0.0,0.0,467,5.781584582441114
Fiza,3.11284046692607,4.166666666666666,0.0,3.4482758620689653,7.6923076923076925,0.0,466,3.004291845493562
NM Coulter-Nile,8.484848484848486,10.526315789473683,11.11111111111111,0.0,0.0,50.0,465,9.032258064516128
C Magaia,4.562737642585551,2.0408163265306123,13.043478260869565,4.0,9.090909090909092,0.0,465,4.731182795698925
CN Ackermann,3.880597014925373,6.25,4.761904761904762,0.0,0.0,0.0,464,4.094827586206897
Mohammad Ihsan,3.3950617283950617,5.747126436781609,2.941176470588235,8.333333333333332,0.0,0.0,463,3.8876889848812093
BM Halliday,6.270627062706271,8.16326530612245,0.0,0.0,0.0,33.33333333333333,463,6.047516198704104
AR Naidoo,3.8461538461538463,2.8301886792452833,4.651162790697675,5.555555555555555,0.0,0.0,463,3.6717062634989204
K Kunwar,4.135338345864661,5.3097345132743365,4.444444444444445,0.0,0.0,0.0,462,4.112554112554113
J Barker,3.5502958579881656,4.878048780487805,3.8461538461538463,0.0,0.0,0.0,461,3.68763557483731
S Sriharsha,4.6263345195729535,2.727272727272727,0.0,5.88235294117647,0.0,0.0,461,3.68763557483731
AM Zepeda,2.5089605734767026,1.9230769230769231,0.0,0.0,0.0,0.0,461,1.9522776572668112
Ravinderpal Singh,5.475504322766571,4.819277108433735,14.285714285714285,0.0,0.0,,460,5.6521739130434785
JG Bethell,4.615384615384616,6.976744186046512,3.225806451612903,0.0,0.0,0.0,460,4.782608695652174
Hamza Dar,2.7027027027027026,4.25531914893617,4.166666666666666,0.0,0.0,,460,3.0434782608695654
JDP Oram,6.824925816023739,5.555555555555555,3.4482758620689653,0.0,,,460,6.304347826086956
CJ Chibhabha,6.375838926174497,4.761904761904762,5.405405405405405,0.0,0.0,0.0,459,5.664488017429194
B Kumar,8.80503144654088,7.216494845360824,10.344827586206897,0.0,0.0,0.0,459,8.278867102396514
SK Awiah,4.780876494023905,2.8301886792452833,10.204081632653061,0.0,11.11111111111111,5.88235294117647,459,4.793028322440087
KH Brunt,4.941860465116279,5.88235294117647,0.0,0.0,0.0,0.0,458,4.8034934497816595
V Abuga,4.918032786885246,4.132231404958678,1.8181818181818181,4.3478260869565215,0.0,0.0,458,4.148471615720524
F Damiao Couana,4.054054054054054,1.9230769230769231,2.7777777777777777,0.0,0.0,0.0,457,3.282275711159737
D Gumyusenge,6.870229007633588,2.631578947368421,4.444444444444445,0.0,25.0,0.0,456,5.482456140350877
SN Khan,4.166666666666666,8.98876404494382,0.0,16.666666666666664,0.0,,456,5.0438596491228065
S Jimmy,4.119850187265917,5.454545454545454,4.545454545454546,0.0,11.11111111111111,0.0,456,4.385964912280701
Khawar Ali,6.0606060606060606,7.142857142857142,4.545454545454546,4.545454545454546,0.0,0.0,456,5.701754385964912
S Uwera,3.91304347826087,7.017543859649122,1.8518518518518516,3.4482758620689653,0.0,0.0,455,4.175824175824175
